Název části obce;Název ulice;Číslo domovní;PSČ
Dvůr Králové nad Labem;náměstí T. G. Masaryka;36;54401
Dvůr Králové nad Labem;náměstí T. G. Masaryka;37;54401
Dvůr Králové nad Labem;náměstí T. G. Masaryka;38;54401
Dvůr Králové nad Labem;náměstí T. G. Masaryka;39;54401
Dvůr Králové nad Labem;náměstí T. G. Masaryka;40;54401
Dvůr Králové nad Labem;náměstí T. G. Masaryka;41;54401
Dvůr Králové nad Labem;Čelakovského;43;54401
Dvůr Králové nad Labem;Švehlova;44;54401
Dvůr Králové nad Labem;Švehlova;45;54401
Dvůr Králové nad Labem;Švehlova;46;54401
Dvůr Králové nad Labem;Švehlova;47;54401
Dvůr Králové nad Labem;Švehlova;48;54401
Dvůr Králové nad Labem;Švehlova;49;54401
Dvůr Králové nad Labem;Švehlova;50;54401
Dvůr Králové nad Labem;Přemyslova;50;54401
Dvůr Králové nad Labem;Přemyslova;52;54401
Dvůr Králové nad Labem;Přemyslova;53;54401
Dvůr Králové nad Labem;náměstí T. G. Masaryka;56;54401
Dvůr Králové nad Labem;náměstí T. G. Masaryka;57;54401
Dvůr Králové nad Labem;náměstí T. G. Masaryka;58;54401
Dvůr Králové nad Labem;náměstí T. G. Masaryka;59;54401
Dvůr Králové nad Labem;náměstí T. G. Masaryka;60;54401
Dvůr Králové nad Labem;Revoluční;61;54401
Dvůr Králové nad Labem;Revoluční;62;54401
Dvůr Králové nad Labem;Revoluční;63;54401
Dvůr Králové nad Labem;Revoluční;64;54401
Dvůr Králové nad Labem;Revoluční;65;54401
Dvůr Králové nad Labem;Revoluční;66;54401
Dvůr Králové nad Labem;Revoluční;71;54401
Dvůr Králové nad Labem;Revoluční;72;54401
Dvůr Králové nad Labem;Revoluční;74;54401
Dvůr Králové nad Labem;Revoluční;75;54401
Dvůr Králové nad Labem;Revoluční;76;54401
Dvůr Králové nad Labem;Revoluční;78;54401
Dvůr Králové nad Labem;náměstí T. G. Masaryka;80;54401
Dvůr Králové nad Labem;náměstí T. G. Masaryka;81;54401
Dvůr Králové nad Labem;náměstí T. G. Masaryka;82;54401
Dvůr Králové nad Labem;náměstí T. G. Masaryka;83;54401
Dvůr Králové nad Labem;náměstí T. G. Masaryka;84;54401
Dvůr Králové nad Labem;náměstí T. G. Masaryka;85;54401
Dvůr Králové nad Labem;náměstí T. G. Masaryka;86;54401
Dvůr Králové nad Labem;Palackého;87;54401
Dvůr Králové nad Labem;Palackého;88;54401
Dvůr Králové nad Labem;Palackého;89;54401
Dvůr Králové nad Labem;Palackého;90;54401
Dvůr Králové nad Labem;Palackého;91;54401
Dvůr Králové nad Labem;Palackého;93;54401
Dvůr Králové nad Labem;Palackého;94;54401
Dvůr Králové nad Labem;Palackého;95;54401
Dvůr Králové nad Labem;Palackého;96;54401
Dvůr Králové nad Labem;Věžní;97;54401
Dvůr Králové nad Labem;Husova;98;54401
Dvůr Králové nad Labem;Palackého;99;54401
Dvůr Králové nad Labem;náměstí Republiky;100;54401
Dvůr Králové nad Labem;náměstí Republiky;101;54401
Dvůr Králové nad Labem;Věžní;103;54401
Dvůr Králové nad Labem;Rybova;104;54401
Dvůr Králové nad Labem;Palackého;105;54401
Dvůr Králové nad Labem;Palackého;106;54401
Dvůr Králové nad Labem;Palackého;107;54401
Dvůr Králové nad Labem;Palackého;108;54401
Dvůr Králové nad Labem;Palackého;109;54401
Dvůr Králové nad Labem;Palackého;110;54401
Dvůr Králové nad Labem;Palackého;111;54401
Dvůr Králové nad Labem;Palackého;112;54401
Dvůr Králové nad Labem;Palackého;113;54401
Dvůr Králové nad Labem;Palackého;114;54401
Dvůr Králové nad Labem;Palackého;115;54401
Dvůr Králové nad Labem;Husova;116;54401
Dvůr Králové nad Labem;Husova;117;54401
Dvůr Králové nad Labem;Čelakovského;118;54401
Dvůr Králové nad Labem;Husova;122;54401
Dvůr Králové nad Labem;Husova;123;54401
Dvůr Králové nad Labem;Husova;124;54401
Dvůr Králové nad Labem;Husova;125;54401
Dvůr Králové nad Labem;Husova;126;54401
Dvůr Králové nad Labem;Husova;128;54401
Dvůr Králové nad Labem;Husova;129;54401
Dvůr Králové nad Labem;Husova;130;54401
Dvůr Králové nad Labem;nábřeží Jiřího Wolkera;131;54401
Dvůr Králové nad Labem;nábřeží Jiřího Wolkera;132;54401
Dvůr Králové nad Labem;nábřeží Jiřího Wolkera;133;54401
Dvůr Králové nad Labem;Husova;134;54401
Dvůr Králové nad Labem;Husova;135;54401
Dvůr Králové nad Labem;Husova;136;54401
Dvůr Králové nad Labem;nábřeží Jiřího Wolkera;137;54401
Dvůr Králové nad Labem;Husova;138;54401
Dvůr Králové nad Labem;Slovany;140;54401
Dvůr Králové nad Labem;Milady Horákové;142;54401
Dvůr Králové nad Labem;Milady Horákové;144;54401
Dvůr Králové nad Labem;Elišky Krásnohorské;147;54401
Dvůr Králové nad Labem;Ke Skále;149;54401
Dvůr Králové nad Labem;Elišky Krásnohorské;151;54401
Dvůr Králové nad Labem;Elišky Krásnohorské;152;54401
Dvůr Králové nad Labem;Elišky Krásnohorské;154;54401
Dvůr Králové nad Labem;Štefánikova;155;54401
Dvůr Králové nad Labem;Slovany;156;54401
Dvůr Králové nad Labem;Slovany;157;54401
Dvůr Králové nad Labem;Slovany;158;54401
Dvůr Králové nad Labem;Slovany;159;54401
Dvůr Králové nad Labem;Rokycanova;160;54401
Dvůr Králové nad Labem;Přemyslova;161;54401
Dvůr Králové nad Labem;Milady Horákové;162;54401
Dvůr Králové nad Labem;Slovany;163;54401
Dvůr Králové nad Labem;Do Lánů;164;54401
Dvůr Králové nad Labem;Slovany;165;54401
Dvůr Králové nad Labem;Do Lánů;166;54401
Dvůr Králové nad Labem;Borovičky;167;54401
Dvůr Králové nad Labem;Na Špačáku;168;54401
Dvůr Králové nad Labem;Do Lánů;169;54401
Dvůr Králové nad Labem;Do Lánů;170;54401
Dvůr Králové nad Labem;Milady Horákové;171;54401
Dvůr Králové nad Labem;Slovany;172;54401
Dvůr Králové nad Labem;Roháčova;173;54401
Dvůr Králové nad Labem;Slovany;175;54401
Dvůr Králové nad Labem;Husova;176;54401
Dvůr Králové nad Labem;Husova;177;54401
Dvůr Králové nad Labem;Husova;178;54401
Dvůr Králové nad Labem;Karlov;179;54401
Dvůr Králové nad Labem;Karlov;180;54401
Dvůr Králové nad Labem;Borovičky;182;54401
Dvůr Králové nad Labem;Karlov;185;54401
Dvůr Králové nad Labem;Karlov;186;54401
Dvůr Králové nad Labem;Karlov;187;54401
Dvůr Králové nad Labem;Karlov;188;54401
Dvůr Králové nad Labem;Karlov;189;54401
Dvůr Králové nad Labem;Karlov;190;54401
Dvůr Králové nad Labem;náměstí Republiky;191;54401
Dvůr Králové nad Labem;Karlov;192;54401
Dvůr Králové nad Labem;náměstí Republiky;193;54401
Dvůr Králové nad Labem;Fibichova;194;54401
Dvůr Králové nad Labem;Slovany;195;54401
Dvůr Králové nad Labem;Chelčického;197;54401
Dvůr Králové nad Labem;náměstí Republiky;199;54401
Dvůr Králové nad Labem;Jiráskova;200;54401
Dvůr Králové nad Labem;Jiráskova;202;54401
Dvůr Králové nad Labem;Jiráskova;203;54401
Dvůr Králové nad Labem;Jiráskova;204;54401
Dvůr Králové nad Labem;Jiráskova;205;54401
Dvůr Králové nad Labem;Jiráskova;206;54401
Dvůr Králové nad Labem;Jiráskova;207;54401
Dvůr Králové nad Labem;Jiráskova;208;54401
Dvůr Králové nad Labem;Jiráskova;211;54401
Dvůr Králové nad Labem;Jiráskova;212;54401
Dvůr Králové nad Labem;Jiráskova;213;54401
Dvůr Králové nad Labem;Jiráskova;214;54401
Dvůr Králové nad Labem;Libušina;215;54401
Dvůr Králové nad Labem;Libušina;216;54401
Dvůr Králové nad Labem;Štítného;218;54401
Dvůr Králové nad Labem;Jiráskova;220;54401
Dvůr Králové nad Labem;Jiráskova;221;54401
Dvůr Králové nad Labem;Jiráskova;222;54401
Dvůr Králové nad Labem;Jiráskova;223;54401
Dvůr Králové nad Labem;Vorlech;226;54401
Dvůr Králové nad Labem;Zeyerova;228;54401
Dvůr Králové nad Labem;Borovičky;230;54401
Dvůr Králové nad Labem;Spojených národů;231;54401
Dvůr Králové nad Labem;Vorlech;232;54401
Dvůr Králové nad Labem;Vorlech;234;54401
Dvůr Králové nad Labem;Vorlech;237;54401
Dvůr Králové nad Labem;Vorlech;241;54401
Dvůr Králové nad Labem;Vorlech;242;54401
Dvůr Králové nad Labem;Nový Vorlech;243;54401
Dvůr Králové nad Labem;V Podlesí;244;54401
Dvůr Králové nad Labem;Vorlech;245;54401
Dvůr Králové nad Labem;Vorlech;248;54401
Dvůr Králové nad Labem;Vorlech;251;54401
Dvůr Králové nad Labem;Vorlešská;252;54401
Dvůr Králové nad Labem;Vorlešská;253;54401
Dvůr Králové nad Labem;Vorlešská;254;54401
Dvůr Králové nad Labem;Vorlešská;255;54401
Dvůr Králové nad Labem;Vorlešská;257;54401
Dvůr Králové nad Labem;Vorlešská;259;54401
Dvůr Králové nad Labem;Do Polí;260;54401
Dvůr Králové nad Labem;Do Polí;262;54401
Dvůr Králové nad Labem;Do Polí;263;54401
Dvůr Králové nad Labem;Do Polí;264;54401
Dvůr Králové nad Labem;Vorlešská;266;54401
Dvůr Králové nad Labem;Nový Vorlech;267;54401
Dvůr Králové nad Labem;Nový Vorlech;269;54401
Dvůr Králové nad Labem;Vorlešská;270;54401
Dvůr Králové nad Labem;Vorlešská;271;54401
Dvůr Králové nad Labem;Vorlešská;272;54401
Dvůr Králové nad Labem;Pod Lesem;275;54401
Dvůr Králové nad Labem;Pod Lesem;277;54401
Dvůr Králové nad Labem;Pod Lesem;278;54401
Dvůr Králové nad Labem;Nový Vorlech;280;54401
Dvůr Králové nad Labem;Pod Lesem;281;54401
Dvůr Králové nad Labem;Nový Vorlech;282;54401
Dvůr Králové nad Labem;Nový Vorlech;283;54401
Dvůr Králové nad Labem;Nový Vorlech;285;54401
Dvůr Králové nad Labem;Nový Vorlech;286;54401
Dvůr Králové nad Labem;Nový Vorlech;287;54401
Dvůr Králové nad Labem;Nový Vorlech;288;54401
Dvůr Králové nad Labem;Vorlešská;289;54401
Dvůr Králové nad Labem;Vorlešská;290;54401
Dvůr Králové nad Labem;Vorlešská;291;54401
Dvůr Králové nad Labem;Vorlešská;292;54401
Dvůr Králové nad Labem;Revoluční;293;54401
Dvůr Králové nad Labem;náměstí Odboje;294;54401
Dvůr Králové nad Labem;Rooseveltova;295;54401
Dvůr Králové nad Labem;Revoluční;298;54401
Dvůr Králové nad Labem;náměstí Václava Hanky;299;54401
Dvůr Králové nad Labem;náměstí Odboje;300;54401
Dvůr Králové nad Labem;Sladkovského;301;54401
Dvůr Králové nad Labem;náměstí Odboje;304;54401
Dvůr Králové nad Labem;náměstí Odboje;307;54401
Dvůr Králové nad Labem;Eklova;312;54401
Dvůr Králové nad Labem;Eklova;313;54401
Dvůr Králové nad Labem;náměstí Odboje;314;54401
Dvůr Králové nad Labem;Rooseveltova;315;54401
Dvůr Králové nad Labem;náměstí Odboje;316;54401
Dvůr Králové nad Labem;Riegrova;318;54401
